gender,age_range,attendance_freq,event_types,indoor_outdoor,top_event,rain_avoid,cold_tolerance,heat_sensitivity,wind_sensitivity,override_weather,scenario_concert,scenario_festival,scenario_sports,scenario_theatre,scenario_conference,user_id,preferred_event_types
Female,25-34,Săptămânal / Weekly,"Concerte / Concerts, Festivaluri / Festivals",5,Concert,1,5,1,1,5,3,3,3,3,3,1,Concert|Festival
Male,55-64,1–2 ori pe an / 1–2 times per year,"Teatru / Theatre, Conferințe / Conferences",1,Conference,5,1,5,5,1,0,1,0,3,3,2,Conference|Theatre
Non-binary,35-44,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre, Expoziții / Exhibitions",3,Sports,3,2,3,4,3,1,2,1,2,2,3,Concert|Exhibition|Theatre
Prefer not to say,55-64,Săptămânal / Weekly,"Concerte / Concerts, Evenimente sportive / Sports events, Expoziții / Exhibitions",3,Theatre,2,4,5,3,4,3,2,0,2,3,4,Concert|Exhibition|Sports
Female,18-24,Lunar / Monthly,Concerte / Concerts,5,Concert,2,3,4,3,5,3,3,1,2,2,5,Concert
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Evenimente sportive / Sports events",4,Sports,5,2,2,2,1,2,3,3,2,3,6,Concert|Sports
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals",4,Festival,2,2,2,2,4,2,3,3,3,3,7,Concert|Festival
Male,45-54,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre",3,Concert,3,3,2,3,4,2,3,2,3,3,8,Concert|Theatre
Female,45-54,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre",3,Theatre,4,1,4,5,5,1,3,2,3,3,9,Concert|Festival|Theatre
Female,45-54,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre",2,Concert,4,1,1,1,3,1,3,3,3,2,10,Concert|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events",3,Sports,2,5,4,4,4,1,3,2,3,3,11,Concert|Festival|Sports
Male,18-24,1–2 ori pe an / 1–2 times per year,"Evenimente sportive / Sports events, Teatru / Theatre, Conferințe / Conferences",3,Sports,4,5,4,2,3,2,3,1,3,3,12,Conference|Sports|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Teatru / Theatre",2,Theatre,4,2,3,3,4,1,3,1,3,2,13,Concert|Theatre
Female,45-54,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events",3,Concert,5,1,2,5,5,3,3,3,3,3,14,Concert|Festival|Sports
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals",4,Festival,5,3,5,4,1,1,3,1,0,3,15,Concert|Festival
Male,55-64,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre, Conferințe / Conferences",1,Sports,2,2,4,3,3,1,3,3,3,3,16,Concert|Conference|Festival|Sports|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,Festivaluri / Festivals,4,Festival,3,4,4,2,5,3,3,1,3,3,17,Festival
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Expoziții / Exhibitions",4,Festival,5,2,2,1,4,1,3,2,3,3,18,Concert|Exhibition
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre",4,Festival,3,2,3,3,5,3,3,2,3,1,19,Concert|Festival|Sports|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Expoziții / Exhibitions",4,Festival,4,2,2,5,5,2,3,1,3,3,20,Concert|Exhibition|Festival|Theatre
Female,18-24,Săptămânal / Weekly,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre, Expoziții / Exhibitions",3,Festival,4,4,2,5,5,3,3,2,3,3,21,Concert|Exhibition|Festival|Sports|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,Evenimente sportive / Sports events,3,Sports,1,4,4,3,5,3,3,1,3,3,22,Sports
Male,45-54,1–2 ori pe an / 1–2 times per year,Concerte / Concerts,3,Concert,4,3,3,4,2,2,3,3,2,1,23,Concert
Male,18-24,1–2 ori pe an / 1–2 times per year,Concerte / Concerts,3,Concert,5,1,1,5,1,1,3,3,3,3,24,Concert
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Teatru / Theatre, Conferințe / Conferences, Expoziții / Exhibitions",3,Concert,5,4,2,4,4,2,3,2,3,3,25,Concert|Conference|Exhibition|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Festivaluri / Festivals, Evenimente sportive / Sports events",5,Festival,4,2,5,4,5,1,3,3,2,3,26,Festival|Sports
Female,18-24,Lunar / Monthly,"Festivaluri / Festivals, Teatru / Theatre, Expoziții / Exhibitions",3,Exhibition,4,2,3,5,4,1,3,1,3,2,27,Exhibition|Festival|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Conferințe / Conferences",3,Festival,5,1,3,3,3,1,3,0,3,3,28,Concert|Conference|Festival|Theatre
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals",3,Concert,2,4,4,2,4,2,2,2,2,2,29,Concert|Festival
Female,18-24,1–2 ori pe an / 1–2 times per year,"Festivaluri / Festivals, Teatru / Theatre",3,Theatre,2,2,1,5,5,3,3,3,3,3,30,Festival|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Conferințe / Conferences, Expoziții / Exhibitions",3,Concert,5,4,5,5,5,0,2,0,3,3,31,Concert|Conference|Exhibition
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre, Conferințe / Conferences",4,Concert,5,3,5,3,5,2,3,0,3,3,32,Concert|Conference|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Festivaluri / Festivals, Evenimente sportive / Sports events",5,Sports,1,2,4,5,3,1,3,1,3,3,33,Festival|Sports
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Teatru / Theatre",4,Theatre,5,1,5,3,2,1,3,0,3,3,34,Concert|Theatre
Male,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Expoziții / Exhibitions",3,Festival,4,3,3,3,5,3,3,2,2,3,35,Concert|Exhibition|Festival
Female,<18,1–2 ori pe an / 1–2 times per year,"Evenimente sportive / Sports events, Teatru / Theatre",5,Sports,5,5,2,2,5,3,3,2,3,3,36,Sports|Theatre
Female,25-34,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Conferințe / Conferences, Expoziții / Exhibitions",3,Festival,4,1,2,4,4,1,3,2,0,3,37,Concert|Conference|Exhibition|Festival|Theatre
Male,35-44,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Expoziții / Exhibitions",4,Sports,2,2,2,2,5,3,3,3,3,3,38,Concert|Exhibition|Festival|Sports
Female,25-34,1–2 ori pe an / 1–2 times per year,"Festivaluri / Festivals, Teatru / Theatre, Conferințe / Conferences",3,Theatre,4,2,5,5,4,2,3,0,3,3,39,Conference|Festival|Theatre
