DATAFLOW,LAST UPDATE,freq,acl00,frequenc,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Austria,2007,56.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Austria,2011,60.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Belgium,2007,61.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Bulgaria,2007,22.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Bulgaria,2011,37.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Cyprus,2007,40.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Cyprus,2011,41.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Czechia,2007,53.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Czechia,2011,55.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Germany,2011,57.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Estonia,2007,54.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Estonia,2011,49.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Greece,2007,51.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Greece,2011,52.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Spain,2007,40.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Finland,2007,58.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Finland,2011,60.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Croatia,2007,29.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Hungary,2007,48.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Hungary,2011,42.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Italy,2007,51.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Italy,2011,44.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Lithuania,2007,35.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Lithuania,2011,49.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Luxembourg,2011,56.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Latvia,2007,34.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Latvia,2011,43.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Malta,2011,47.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Poland,2007,49.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Poland,2011,47.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Portugal,2007,42.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Portugal,2011,40.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Romania,2007,24.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Romania,2011,25.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Serbia,2011,30.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Slovenia,2007,47.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Slovenia,2011,53.1,,
