state,date,weather_temp_C,weather_precip_mm
AK,2022-03-31 00:00:00,2.1,13.9
AK,2022-04-01 00:00:00,2.8,6.4
AK,2022-04-02 00:00:00,2.3,9.0
AK,2022-04-03 00:00:00,2.6,26.7
AK,2022-04-04 00:00:00,2.3,3.0
AK,2022-04-05 00:00:00,2.5,7.4
AK,2022-04-06 00:00:00,2.7,10.4
AK,2022-04-07 00:00:00,3.6,9.9
AK,2022-04-08 00:00:00,2.3,10.4
AK,2022-04-09 00:00:00,1.3,3.4
AK,2022-04-10 00:00:00,1.1,0.0
AK,2022-04-11 00:00:00,-0.5,0.0
AK,2022-04-12 00:00:00,-3.2,0.0
AK,2022-04-13 00:00:00,-1.8,0.0
AK,2022-04-14 00:00:00,-0.8,0.0
AK,2022-04-15 00:00:00,1.6,0.0
AK,2022-04-16 00:00:00,2.7,0.0
AK,2022-04-17 00:00:00,2.0,0.0
AK,2022-04-18 00:00:00,1.6,0.6
AK,2022-04-19 00:00:00,2.8,0.0
AK,2022-04-20 00:00:00,3.7,0.0
AK,2022-04-21 00:00:00,3.8,0.0
AK,2022-04-22 00:00:00,4.3,0.2
AK,2022-04-23 00:00:00,4.7,4.3
AK,2022-04-24 00:00:00,4.8,4.1
AK,2022-04-25 00:00:00,3.9,0.4
AK,2022-04-26 00:00:00,3.6,24.0
AK,2022-04-27 00:00:00,3.2,11.8
AK,2022-04-28 00:00:00,3.2,0.4
AK,2022-04-29 00:00:00,3.7,0.0
AK,2022-04-30 00:00:00,3.9,0.0
AK,2022-05-01 00:00:00,5.9,9.4
AK,2022-05-02 00:00:00,4.8,14.4
AK,2022-05-03 00:00:00,3.7,27.3
AK,2022-05-04 00:00:00,4.3,5.7
AK,2022-05-05 00:00:00,4.3,4.2
AK,2022-05-06 00:00:00,3.5,0.0
AK,2022-05-07 00:00:00,4.1,0.8
AK,2022-05-08 00:00:00,4.9,0.0
AK,2022-05-09 00:00:00,7.2,0.0
AK,2022-05-10 00:00:00,4.9,13.3
AK,2022-05-11 00:00:00,4.5,3.3
AK,2022-05-12 00:00:00,5.0,0.0
AK,2022-05-13 00:00:00,6.1,0.1
AK,2022-05-14 00:00:00,5.0,6.8
AK,2022-05-15 00:00:00,4.3,0.1
AK,2022-05-16 00:00:00,4.9,1.9
AK,2022-05-17 00:00:00,5.0,0.6
AK,2022-05-18 00:00:00,6.0,0.0
AK,2022-05-19 00:00:00,8.2,0.0
AK,2022-05-20 00:00:00,8.2,0.0
AK,2022-05-21 00:00:00,7.8,0.0
AK,2022-05-22 00:00:00,8.7,0.0
AK,2022-05-23 00:00:00,7.8,11.0
AK,2022-05-24 00:00:00,6.3,9.5
AK,2022-05-25 00:00:00,5.6,0.1
AK,2022-05-26 00:00:00,9.0,0.0
AK,2022-05-27 00:00:00,10.8,0.0
AK,2022-05-28 00:00:00,13.0,0.1
AK,2022-05-29 00:00:00,13.4,0.0
AK,2022-05-30 00:00:00,14.7,0.0
AK,2022-05-31 00:00:00,16.1,0.0
AK,2022-06-01 00:00:00,17.6,0.1
AK,2022-06-02 00:00:00,19.0,0.0
AK,2022-06-03 00:00:00,20.2,0.0
AK,2022-06-04 00:00:00,16.6,1.4
AK,2022-06-05 00:00:00,13.1,5.5
AK,2022-06-06 00:00:00,14.2,22.6
AK,2022-06-07 00:00:00,12.6,1.0
AK,2022-06-08 00:00:00,13.7,0.0
AK,2022-06-09 00:00:00,14.1,0.3
AK,2022-06-10 00:00:00,13.2,4.2
AK,2022-06-11 00:00:00,10.9,3.2
AK,2022-06-12 00:00:00,9.3,12.1
AK,2022-06-13 00:00:00,9.4,11.0
AK,2022-06-14 00:00:00,10.0,6.0
AK,2022-06-15 00:00:00,11.9,0.0
AK,2022-06-16 00:00:00,16.8,0.0
AK,2022-06-17 00:00:00,18.1,0.0
AK,2022-06-18 00:00:00,14.3,0.0
AK,2022-06-19 00:00:00,11.8,5.3
AK,2022-06-20 00:00:00,10.5,8.6
AK,2022-06-21 00:00:00,10.2,10.7
AK,2022-06-22 00:00:00,10.4,6.3
AK,2022-06-23 00:00:00,13.5,0.1
AK,2022-06-24 00:00:00,15.4,0.0
AK,2022-06-25 00:00:00,16.9,0.0
AK,2022-06-26 00:00:00,18.3,0.0
AK,2022-06-27 00:00:00,18.6,0.0
AK,2022-06-28 00:00:00,20.9,0.0
AK,2022-06-29 00:00:00,19.7,1.8
AK,2022-06-30 00:00:00,16.3,0.1
AK,2022-07-01 00:00:00,15.8,0.0
AK,2022-07-02 00:00:00,18.1,0.0
AK,2022-07-03 00:00:00,20.4,0.0
AK,2022-07-04 00:00:00,21.8,0.0
AK,2022-07-05 00:00:00,21.0,0.0
AK,2022-07-06 00:00:00,18.4,0.0
AK,2022-07-07 00:00:00,17.7,4.1
AK,2022-07-08 00:00:00,13.8,13.1
AK,2022-07-09 00:00:00,13.9,3.2
AK,2022-07-10 00:00:00,14.3,7.0
AK,2022-07-11 00:00:00,12.2,29.6
AK,2022-07-12 00:00:00,11.6,3.4
AK,2022-07-13 00:00:00,12.2,7.0
AK,2022-07-14 00:00:00,14.3,0.1
AK,2022-07-15 00:00:00,15.8,0.0
AK,2022-07-16 00:00:00,15.6,5.1
AK,2022-07-17 00:00:00,12.9,25.9
AK,2022-07-18 00:00:00,12.5,26.2
AK,2022-07-19 00:00:00,12.9,13.4
AK,2022-07-20 00:00:00,11.9,14.5
AK,2022-07-21 00:00:00,11.5,13.8
AK,2022-07-22 00:00:00,12.9,9.3
AK,2022-07-23 00:00:00,12.1,25.8
AK,2022-07-24 00:00:00,12.7,38.1
AK,2022-07-25 00:00:00,13.8,10.0
AK,2022-07-26 00:00:00,15.0,8.2
