model,feature,importance
LGBM Contextual,weather_temp_C,3179.0
LGBM Contextual,event_type,2342.0
LGBM Contextual,weather_wind_speed_kmh,1960.0
LGBM Contextual,scenario_sports,813.0
LGBM Contextual,scenario_concert,793.0
LGBM Contextual,cold_tolerance,783.0
LGBM Contextual,location,684.0
LGBM Contextual,wind_sensitivity,662.0
LGBM Contextual,heat_sensitivity,656.0
LGBM Contextual,override_weather,646.0
LGBM Contextual,top_event,626.0
LGBM Contextual,scenario_theatre,617.0
LGBM Contextual,is_outdoor,572.0
LGBM Contextual,rain_avoid,521.0
LGBM Contextual,weather_precip_mm,509.0
LGBM Contextual,event_in_preferred,504.0
LGBM Contextual,event_month,501.0
LGBM Contextual,event_hour,398.0
LGBM Contextual,scenario_conference,357.0
LGBM Contextual,indoor_outdoor,319.0
LGBM Contextual,gender,287.0
LGBM Contextual,scenario_festival,248.0
LGBM Contextual,age_range,228.0
LGBM Contextual,attendance_freq,207.0
LGBM Contextual,climate_zone,188.0
RF Contextual,event_type,0.2844983294699501
RF Contextual,is_outdoor,0.09211125481146797
RF Contextual,weather_temp_C,0.07011483633699409
RF Contextual,scenario_concert,0.0664289916847747
RF Contextual,scenario_theatre,0.06444234712005659
RF Contextual,event_in_preferred,0.05164929714770363
RF Contextual,scenario_conference,0.04815737865448342
RF Contextual,weather_wind_speed_kmh,0.03754271622328329
RF Contextual,override_weather,0.036807515245247446
RF Contextual,scenario_sports,0.03395275602377668
RF Contextual,heat_sensitivity,0.021202860359887995
RF Contextual,climate_zone,0.019253103344166637
RF Contextual,location,0.01868169802623282
RF Contextual,event_month,0.018540927239294527
RF Contextual,cold_tolerance,0.018174548547484726
RF Contextual,top_event,0.017022325898429405
RF Contextual,wind_sensitivity,0.01626519925398083
RF Contextual,rain_avoid,0.016246665210143087
RF Contextual,indoor_outdoor,0.012026178118676545
RF Contextual,scenario_festival,0.010640782921373453
RF Contextual,event_hour,0.0102444902565355
RF Contextual,weather_precip_mm,0.009692466892138384
RF Contextual,attendance_freq,0.00946354979677918
RF Contextual,age_range,0.00851004646269835
RF Contextual,gender,0.008329734954440695
XGB Contextual,scenario_conference,0.16562175750732422
XGB Contextual,scenario_theatre,0.11191209405660629
XGB Contextual,event_in_preferred,0.10788418352603912
XGB Contextual,event_type,0.0966295525431633
XGB Contextual,scenario_concert,0.09381049126386642
XGB Contextual,is_outdoor,0.06095552816987038
XGB Contextual,scenario_sports,0.060507021844387054
XGB Contextual,climate_zone,0.04484376683831215
XGB Contextual,scenario_festival,0.04216913506388664
XGB Contextual,override_weather,0.02678086794912815
XGB Contextual,weather_temp_C,0.025296436622738838
XGB Contextual,heat_sensitivity,0.02140028215944767
XGB Contextual,top_event,0.019678719341754913
XGB Contextual,cold_tolerance,0.01737257093191147
XGB Contextual,weather_precip_mm,0.01505741011351347
XGB Contextual,gender,0.014248840510845184
XGB Contextual,wind_sensitivity,0.01253766380250454
XGB Contextual,attendance_freq,0.012194369919598103
XGB Contextual,indoor_outdoor,0.010249963030219078
XGB Contextual,weather_wind_speed_kmh,0.009357853792607784
XGB Contextual,age_range,0.009285499341785908
XGB Contextual,rain_avoid,0.007656860630959272
XGB Contextual,location,0.005163982976227999
XGB Contextual,event_month,0.005154958926141262
XGB Contextual,event_hour,0.00423027528449893
