model,feature,importance
LGBM Contextual,weather_temp_C,1399.0
LGBM Contextual,event_type,1335.0
LGBM Contextual,weather_wind_speed_kmh,598.0
LGBM Contextual,scenario_concert,576.0
LGBM Contextual,weather_humidity,470.0
LGBM Contextual,heat_sensitivity,429.0
LGBM Contextual,cold_tolerance,412.0
LGBM Contextual,is_outdoor,405.0
LGBM Contextual,scenario_sports,387.0
LGBM Contextual,scenario_theatre,386.0
LGBM Contextual,top_event,359.0
LGBM Contextual,event_in_preferred,327.0
LGBM Contextual,override_weather,254.0
LGBM Contextual,location,254.0
LGBM Contextual,wind_sensitivity,238.0
LGBM Contextual,weather_precip_mm,229.0
LGBM Contextual,scenario_conference,225.0
LGBM Contextual,age_range,175.0
LGBM Contextual,event_month,147.0
LGBM Contextual,rain_avoid,146.0
LGBM Contextual,scenario_festival,124.0
LGBM Contextual,event_hour,101.0
LGBM Contextual,gender,92.0
LGBM Contextual,indoor_outdoor,85.0
LGBM Contextual,attendance_freq,81.0
LGBM Contextual,climate_zone,66.0
RF Contextual,is_outdoor,0.20846097570210503
RF Contextual,event_type,0.1865520343999817
RF Contextual,weather_temp_C,0.06325505031188745
RF Contextual,scenario_theatre,0.05729213819478269
RF Contextual,scenario_concert,0.056065303263800235
RF Contextual,scenario_conference,0.04957835181312473
RF Contextual,event_in_preferred,0.04875176956944769
RF Contextual,override_weather,0.037752419664235315
RF Contextual,weather_wind_speed_kmh,0.02878693680502984
RF Contextual,heat_sensitivity,0.028460129126896234
RF Contextual,cold_tolerance,0.028059108520280252
RF Contextual,weather_humidity,0.02799123458453987
RF Contextual,scenario_sports,0.026863856411892546
RF Contextual,top_event,0.019095526206417666
RF Contextual,location,0.016737497174434755
RF Contextual,wind_sensitivity,0.016552199665288477
RF Contextual,event_month,0.01590201126193612
RF Contextual,rain_avoid,0.015408517627263156
RF Contextual,indoor_outdoor,0.013527039838154353
RF Contextual,climate_zone,0.009633263737974096
RF Contextual,attendance_freq,0.009346122643378457
RF Contextual,age_range,0.008449142137018568
RF Contextual,event_hour,0.007920858427678468
RF Contextual,gender,0.00731259916028888
RF Contextual,scenario_festival,0.00723646843960938
RF Contextual,weather_precip_mm,0.005009445312553952
XGB Contextual,is_outdoor,0.16344185173511505
XGB Contextual,scenario_conference,0.14005929231643677
XGB Contextual,scenario_theatre,0.10280564427375793
XGB Contextual,scenario_concert,0.07980132102966309
XGB Contextual,event_in_preferred,0.07598068565130234
XGB Contextual,event_type,0.06764619052410126
XGB Contextual,override_weather,0.04426867514848709
XGB Contextual,scenario_sports,0.043211035430431366
XGB Contextual,weather_temp_C,0.03519270941615105
XGB Contextual,scenario_festival,0.03507992997765541
XGB Contextual,heat_sensitivity,0.03361247852444649
XGB Contextual,cold_tolerance,0.027048585936427116
XGB Contextual,top_event,0.024273985996842384
XGB Contextual,indoor_outdoor,0.021315502002835274
XGB Contextual,gender,0.016832374036312103
XGB Contextual,age_range,0.014402871020138264
XGB Contextual,rain_avoid,0.012815685011446476
XGB Contextual,weather_wind_speed_kmh,0.009984508156776428
XGB Contextual,attendance_freq,0.009889092296361923
XGB Contextual,wind_sensitivity,0.009404282085597515
XGB Contextual,weather_precip_mm,0.007506044115871191
XGB Contextual,weather_humidity,0.0067850626073777676
XGB Contextual,location,0.005324458237737417
XGB Contextual,climate_zone,0.005247063003480434
XGB Contextual,event_month,0.004539270885288715
XGB Contextual,event_hour,0.0035313302651047707
